date,total_vaccinations,people_fully_vaccinated,people_vaccinated,vaccine,location,source_url,total_boosters,iso_code
14/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
15/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
16/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
17/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
18/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
19/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
20/02/2021,0,0,0,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
21/02/2021,20,0,20,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
22/02/2021,2879,0,2879,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
23/02/2021,6908,0,6908,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
24/02/2021,17500,0,17500,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
25/02/2021,25000,0,25000,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
26/02/2021,30000,0,30000,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
27/02/2021,31894,0,31894,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
28/02/2021,33702,0,33702,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
1/03/2021,41907,0,41907,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
2/03/2021,50840,0,50840,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
3/03/2021,61008,0,61008,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
4/03/2021,71867,0,71867,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
5/03/2021,76940,0,76940,Pfizer/BioNTech,Australia,https://covidlive.com.au/covid-live.json,,AUS
6/03/2021,81345,0,81345,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
7/03/2021,86369,0,86369,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
8/03/2021,94908,0,94908,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
9/03/2021,106200,0,106200,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
10/03/2021,125000,0,125000,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
11/03/2021,135103,0,135103,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
12/03/2021,159294,0,159294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
13/03/2021,162551,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
14/03/2021,164781,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
15/03/2021,182437,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
16/03/2021,203557,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
17/03/2021,226057,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
18/03/2021,240754,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
19/03/2021,253831,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
20/03/2021,257019,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
21/03/2021,282184,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
22/03/2021,307525,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
23/03/2021,355254,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
24/03/2021,408410,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
25/03/2021,460155,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
26/03/2021,506465,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
27/03/2021,511520,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Australia,https://covidlive.com.au/covid-live.json,,AUS
