location,total_vaccinations,date,vaccine,source_url,people_vaccinated,people_fully_vaccinated,total_boosters,iso_code
United States,556208,20/12/2020,Pfizer/BioNTech,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/index.html,556208,,,USA
United States,614117,21/12/2020,Pfizer/BioNTech,https://covid.cdc.gov/covid-data-tracker/#vaccinations,614117,,,USA
United States,1008025,23/12/2020,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,1008025,,,USA
United States,1944585,26/12/2020,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,1944585,,,USA
United States,2127143,28/12/2020,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,2127143,,,USA
United States,2794588,30/12/2020,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,2794588,,,USA
United States,4225756,2/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,4225756,,,USA
United States,4563260,4/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,4563260,,,USA
United States,4836469,5/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,4836469,,,USA
United States,5306797,6/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,5306797,,,USA
United States,5919418,7/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,5919418,,,USA
United States,6688231,8/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,6688231,,,USA
United States,8987322,11/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,8987322,,,USA
United States,9327138,12/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,9327138,,,USA
United States,10278462,13/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,,,,USA
United States,11148991,14/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,9690757,1342086,,USA
United States,12279180,15/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,10595866,1610524,,USA
United States,15707588,19/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,13595803,2023124,,USA
United States,16525281,20/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,14270441,2161419,,USA
United States,17546374,21/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,15053257,2394961,,USA
United States,19107959,22/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,16243093,2756953,,USA
United States,20537990,23/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,17390345,3027865,,USA
United States,21848655,24/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,18502131,3216836,,USA
United States,22734243,25/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,19252279,3346390,,USA
United States,23540994,26/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,19902237,3481921,,USA
United States,24652634,27/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,20687970,3801053,,USA
United States,26193682,28/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,21698606,4263056,,USA
United States,27884661,29/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,22858318,4780888,,USA
United States,29577902,30/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,24064165,5259693,,USA
United States,31123299,31/01/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,25201143,5657142,,USA
United States,32222402,1/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,26023153,5927847,,USA
United States,32780860,2/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,26440836,6064792,,USA
United States,33878254,3/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,27154956,6436931,,USA
United States,35203710,4/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,27905197,6926050,,USA
United States,36819212,5/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,28909497,7503864,,USA
United States,39037964,6/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,30250964,8317180,,USA
United States,41210937,7/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,31579100,9147185,,USA
United States,42417617,8/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,32340146,9518015,,USA
United States,43206190,9/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,32867213,9840429,,USA
United States,44769970,10/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,33783384,10469514,,USA
United States,46390270,11/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,34723964,11188782,,USA
United States,48410558,12/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,35834855,12085830,,USA
United States,50641884,13/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,37056122,13082172,,USA
United States,52884356,14/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,38292270,14077440,,USA
United States,55220364,16/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,39670551,15015434,,USA
United States,56281827,17/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,40268009,15471536,,USA
United States,57737767,18/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,41021049,16162358,,USA
United States,59585043,19/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,41977401,17039118,,USA
United States,61289500,20/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,42809595,17895667,,USA
United States,63090634,21/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,43628092,18865319,,USA
United States,64177474,22/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,44138118,19438495,,USA
United States,65032083,23/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,44544969,19882544,,USA
United States,66464947,24/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,45237143,20607261,,USA
United States,68274117,25/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,46074392,21555117,,USA
United States,70454064,26/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,47184199,22613359,,USA
United States,72806180,27/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,48435536,23698627,,USA
United States,75236003,28/02/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,49772180,24779920,,USA
United States,76899987,1/03/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,50732997,25466405,,USA
United States,78631601,2/03/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,51755447,26162122,,USA
United States,80540474,3/03/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,52855579,26957804,,USA
United States,82572848,4/03/2021,"Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,54035670,27795980,,USA
United States,85008094,5/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,55547697,28701201,,USA
United States,87912323,6/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,57358849,29776160,,USA
United States,90351750,7/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,58873710,30686881,,USA
United States,92089852,8/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,60005231,31493040,,USA
United States,93692598,9/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,61088527,32102061,,USA
United States,95721290,10/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,62451150,32904161,,USA
United States,98203893,11/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,64071674,33863127,,USA
United States,101128005,12/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,65965305,35000159,,USA
United States,105703501,13/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,68884011,36929777,,USA
United States,107060274,14/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,69784210,37459269,,USA
United States,109081860,15/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,71054445,38335432,,USA
United States,110737856,16/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,72135616,39042345,,USA
United States,113037627,17/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,73669956,39989196,,USA
United States,115730008,18/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,75495716,40981464,,USA
United States,118313818,19/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,77230061,41934629,,USA
United States,121441497,20/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,79367225,43036818,,USA
United States,124481412,21/03/2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech",https://covid.cdc.gov/covid-data-tracker/#vaccinations,81415769,44141228,,USA
