ID,location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1,Austria,8/01/2021,18-24,0.12,0
2,Austria,8/01/2021,25-49,0.39,0
3,Austria,8/01/2021,50-59,0.54,0
4,Austria,8/01/2021,60-69,0.32,0
5,Austria,8/01/2021,70-79,0.27,0
6,Austria,8/01/2021,80+,1.23,0
7,Austria,15/01/2021,18-24,0.44,0
8,Austria,15/01/2021,25-49,1.18,0
9,Austria,15/01/2021,50-59,1.81,0.01
10,Austria,15/01/2021,60-69,1.3,0
11,Austria,15/01/2021,70-79,1.29,0.01
12,Austria,15/01/2021,80+,6.05,0.02
13,Austria,22/01/2021,18-24,0.87,0.01
14,Austria,22/01/2021,25-49,2.16,0.04
15,Austria,22/01/2021,50-59,3.15,0.07
16,Austria,22/01/2021,60-69,2.11,0.06
17,Austria,22/01/2021,70-79,2.15,0.07
18,Austria,22/01/2021,80+,11.73,0.32
19,Austria,29/01/2021,18-24,1.03,0.1
20,Austria,29/01/2021,25-49,2.47,0.24
21,Austria,29/01/2021,50-59,3.54,0.37
22,Austria,29/01/2021,60-69,2.38,0.25
23,Austria,29/01/2021,70-79,2.36,0.23
24,Austria,29/01/2021,80+,14.1,1.04
25,Austria,5/02/2021,18-24,1.15,0.4
26,Austria,5/02/2021,25-49,2.68,1.06
27,Austria,5/02/2021,50-59,3.85,1.6
28,Austria,5/02/2021,60-69,2.57,1.13
29,Austria,5/02/2021,70-79,2.51,1.08
30,Austria,5/02/2021,80+,14.9,5.1
31,Austria,12/02/2021,18-24,1.52,0.8
32,Austria,12/02/2021,25-49,3.04,2.01
33,Austria,12/02/2021,50-59,4.3,2.9
34,Austria,12/02/2021,60-69,2.83,1.94
35,Austria,12/02/2021,70-79,2.72,1.87
36,Austria,12/02/2021,80+,15.83,10.29
37,Austria,19/02/2021,18-24,2,1
38,Austria,19/02/2021,25-49,3.71,2.36
39,Austria,19/02/2021,50-59,5.14,3.39
40,Austria,19/02/2021,60-69,3.34,2.25
41,Austria,19/02/2021,70-79,3.04,2.23
42,Austria,19/02/2021,80+,20.14,13.38
43,Austria,26/02/2021,18-24,2.95,1.12
44,Austria,26/02/2021,25-49,4.8,2.61
45,Austria,26/02/2021,50-59,6.44,3.76
46,Austria,26/02/2021,60-69,4.2,2.51
47,Austria,26/02/2021,70-79,3.53,2.41
48,Austria,26/02/2021,80+,27.75,14.05
49,Austria,5/03/2021,18-24,3.73,1.2
50,Austria,5/03/2021,25-49,5.87,2.76
51,Austria,5/03/2021,50-59,7.91,3.97
52,Austria,5/03/2021,60-69,5.33,2.66
53,Austria,5/03/2021,70-79,4.57,2.56
54,Austria,5/03/2021,80+,43.79,14.98
55,Austria,12/03/2021,18-24,5.12,1.25
56,Austria,12/03/2021,25-49,7.91,2.88
57,Austria,12/03/2021,50-59,10.41,4.16
58,Austria,12/03/2021,60-69,8.12,2.85
59,Austria,12/03/2021,70-79,8.14,2.84
60,Austria,12/03/2021,80+,57.4,19.14
61,Austria,19/03/2021,18-24,5.82,1.29
62,Austria,19/03/2021,25-49,9.26,2.99
63,Austria,19/03/2021,50-59,12.39,4.34
64,Austria,19/03/2021,60-69,10.99,3.09
65,Austria,19/03/2021,70-79,13.81,3.24
66,Austria,19/03/2021,80+,66.74,26.73
67,Austria,26/03/2021,18-24,6.47,1.37
68,Austria,26/03/2021,25-49,10.47,3.12
69,Austria,26/03/2021,50-59,14.22,4.63
70,Austria,26/03/2021,60-69,13.38,3.59
71,Austria,26/03/2021,70-79,19,4.02
72,Austria,26/03/2021,80+,71.78,42.21
73,Austria,2/04/2021,18-24,6.83,1.49
74,Austria,2/04/2021,25-49,11.04,3.29
75,Austria,2/04/2021,50-59,15.24,4.93
76,Austria,2/04/2021,60-69,15.03,4.22
77,Austria,2/04/2021,70-79,26.94,5.51
78,Austria,2/04/2021,80+,78.3,53.26
79,Austria,9/04/2021,18-24,7.16,2.21
80,Austria,9/04/2021,25-49,11.61,4.16
81,Austria,9/04/2021,50-59,16.35,6.1
82,Austria,9/04/2021,60-69,19.76,6
83,Austria,9/04/2021,70-79,40.45,9.05
84,Austria,9/04/2021,80+,84.06,62.57
85,Austria,16/04/2021,18-24,7.65,2.56
86,Austria,16/04/2021,25-49,12.71,4.66
87,Austria,16/04/2021,50-59,18.54,6.95
88,Austria,16/04/2021,60-69,27.72,7.62
89,Austria,16/04/2021,70-79,54.52,13.14
90,Austria,16/04/2021,80+,88.13,66.74
91,Austria,23/04/2021,18-24,8.52,2.72
92,Austria,23/04/2021,25-49,14.45,4.92
93,Austria,23/04/2021,50-59,22.29,7.35
94,Austria,23/04/2021,60-69,37.49,8.28
95,Austria,23/04/2021,70-79,63.77,15.5
96,Austria,23/04/2021,80+,90.09,71.03
97,Austria,30/04/2021,18-24,9.73,2.98
98,Austria,30/04/2021,25-49,16.35,5.23
99,Austria,30/04/2021,50-59,27.08,7.8
100,Austria,30/04/2021,60-69,48.96,9.34
101,Austria,30/04/2021,70-79,67.97,19.83
102,Austria,30/04/2021,80+,91.36,72.41
103,Austria,7/05/2021,18-24,11.7,3.56
104,Austria,7/05/2021,25-49,19.55,5.97
105,Austria,7/05/2021,50-59,34.18,8.81
106,Austria,7/05/2021,60-69,57.71,11.53
107,Austria,7/05/2021,70-79,71.52,26.4
108,Austria,7/05/2021,80+,92.85,74.52
109,Austria,14/05/2021,18-24,14,4.29
