ID,location,date,vaccine,total_vaccinations
1,Austria,8/01/2021,Johnson&Johnson,0
2,Austria,8/01/2021,Moderna,0
3,Austria,8/01/2021,Oxford/AstraZeneca,0
4,Austria,8/01/2021,Pfizer/BioNTech,31202
5,Austria,15/01/2021,Johnson&Johnson,0
6,Austria,15/01/2021,Moderna,89
7,Austria,15/01/2021,Oxford/AstraZeneca,0
8,Austria,15/01/2021,Pfizer/BioNTech,116006
9,Austria,22/01/2021,Johnson&Johnson,0
10,Austria,22/01/2021,Moderna,308
11,Austria,22/01/2021,Oxford/AstraZeneca,0
12,Austria,22/01/2021,Pfizer/BioNTech,213217
13,Austria,29/01/2021,Johnson&Johnson,0
14,Austria,29/01/2021,Moderna,4231
15,Austria,29/01/2021,Oxford/AstraZeneca,1
16,Austria,29/01/2021,Pfizer/BioNTech,257977
17,Austria,5/02/2021,Johnson&Johnson,0
18,Austria,5/02/2021,Moderna,5932
19,Austria,5/02/2021,Oxford/AstraZeneca,3
20,Austria,5/02/2021,Pfizer/BioNTech,353627
21,Austria,12/02/2021,Johnson&Johnson,0
22,Austria,12/02/2021,Moderna,10024
23,Austria,12/02/2021,Oxford/AstraZeneca,10764
24,Austria,12/02/2021,Pfizer/BioNTech,455213
25,Austria,19/02/2021,Johnson&Johnson,0
26,Austria,19/02/2021,Moderna,14108
27,Austria,19/02/2021,Oxford/AstraZeneca,43491
28,Austria,19/02/2021,Pfizer/BioNTech,520832
29,Austria,26/02/2021,Johnson&Johnson,0
30,Austria,26/02/2021,Moderna,22475
31,Austria,26/02/2021,Oxford/AstraZeneca,101196
32,Austria,26/02/2021,Pfizer/BioNTech,581953
33,Austria,5/03/2021,Johnson&Johnson,0
34,Austria,5/03/2021,Moderna,31772
35,Austria,5/03/2021,Oxford/AstraZeneca,156074
36,Austria,5/03/2021,Pfizer/BioNTech,686365
37,Austria,12/03/2021,Johnson&Johnson,0
38,Austria,12/03/2021,Moderna,47114
39,Austria,12/03/2021,Oxford/AstraZeneca,234758
40,Austria,12/03/2021,Pfizer/BioNTech,849137
41,Austria,19/03/2021,Johnson&Johnson,19
42,Austria,19/03/2021,Moderna,78896
43,Austria,19/03/2021,Oxford/AstraZeneca,307989
44,Austria,19/03/2021,Pfizer/BioNTech,981706
45,Austria,26/03/2021,Johnson&Johnson,33
46,Austria,26/03/2021,Moderna,104255
47,Austria,26/03/2021,Oxford/AstraZeneca,383353
48,Austria,26/03/2021,Pfizer/BioNTech,1128159
49,Austria,2/04/2021,Johnson&Johnson,58
50,Austria,2/04/2021,Moderna,140586
51,Austria,2/04/2021,Oxford/AstraZeneca,421924
52,Austria,2/04/2021,Pfizer/BioNTech,1276337
53,Austria,9/04/2021,Johnson&Johnson,107
54,Austria,9/04/2021,Moderna,180099
55,Austria,9/04/2021,Oxford/AstraZeneca,512308
56,Austria,9/04/2021,Pfizer/BioNTech,1497693
57,Austria,16/04/2021,Johnson&Johnson,118
58,Austria,16/04/2021,Moderna,222596
59,Austria,16/04/2021,Oxford/AstraZeneca,608209
60,Austria,16/04/2021,Pfizer/BioNTech,1731560
61,Austria,23/04/2021,Johnson&Johnson,123
62,Austria,23/04/2021,Moderna,259902
63,Austria,23/04/2021,Oxford/AstraZeneca,657178
64,Austria,23/04/2021,Pfizer/BioNTech,1995332
65,Austria,30/04/2021,Johnson&Johnson,393
66,Austria,30/04/2021,Moderna,298864
67,Austria,30/04/2021,Oxford/AstraZeneca,699638
68,Austria,30/04/2021,Pfizer/BioNTech,2268959
69,Austria,7/05/2021,Johnson&Johnson,6485
70,Austria,7/05/2021,Moderna,348174
71,Austria,7/05/2021,Oxford/AstraZeneca,762676
72,Austria,7/05/2021,Pfizer/BioNTech,2599578
73,Austria,14/05/2021,Johnson&Johnson,13475
74,Austria,14/05/2021,Moderna,398114
75,Austria,14/05/2021,Oxford/AstraZeneca,826867
76,Austria,14/05/2021,Pfizer/BioNTech,2899274
77,Austria,21/05/2021,Johnson&Johnson,25741
78,Austria,21/05/2021,Moderna,466137
79,Austria,21/05/2021,Oxford/AstraZeneca,904696
80,Austria,21/05/2021,Pfizer/BioNTech,3277339
81,Austria,28/05/2021,Johnson&Johnson,37904
82,Austria,28/05/2021,Moderna,519754
83,Austria,28/05/2021,Oxford/AstraZeneca,987638
84,Austria,28/05/2021,Pfizer/BioNTech,3612988
85,Austria,4/06/2021,Johnson&Johnson,58251
86,Austria,4/06/2021,Moderna,575206
87,Austria,4/06/2021,Oxford/AstraZeneca,1056326
88,Austria,4/06/2021,Pfizer/BioNTech,4038808
89,Austria,11/06/2021,Johnson&Johnson,79944
90,Austria,11/06/2021,Moderna,638251
91,Austria,11/06/2021,Oxford/AstraZeneca,1151794
92,Austria,11/06/2021,Pfizer/BioNTech,4477875
93,Austria,18/06/2021,Johnson&Johnson,94922
94,Austria,18/06/2021,Moderna,687943
95,Austria,18/06/2021,Oxford/AstraZeneca,1204338
96,Austria,18/06/2021,Pfizer/BioNTech,4933133
97,Austria,25/06/2021,Johnson&Johnson,103496
98,Austria,25/06/2021,Moderna,743778
99,Austria,25/06/2021,Oxford/AstraZeneca,1278371
100,Austria,25/06/2021,Pfizer/BioNTech,5378588
101,Austria,2/07/2021,Johnson&Johnson,128953
102,Austria,2/07/2021,Moderna,803903
103,Austria,2/07/2021,Oxford/AstraZeneca,1386325
104,Austria,2/07/2021,Pfizer/BioNTech,5770110
105,Austria,9/07/2021,Johnson&Johnson,153053
106,Austria,9/07/2021,Moderna,854343
107,Austria,9/07/2021,Oxford/AstraZeneca,1454317
108,Austria,9/07/2021,Pfizer/BioNTech,6097411
109,Austria,16/07/2021,Johnson&Johnson,172333
110,Austria,16/07/2021,Moderna,898890
111,Austria,16/07/2021,Oxford/AstraZeneca,1506141
112,Austria,16/07/2021,Pfizer/BioNTech,6369673
113,Austria,23/07/2021,Johnson&Johnson,188868
114,Austria,23/07/2021,Moderna,945416
115,Austria,23/07/2021,Oxford/AstraZeneca,1536009
116,Austria,23/07/2021,Pfizer/BioNTech,6617865
117,Austria,30/07/2021,Johnson&Johnson,200924
118,Austria,30/07/2021,Moderna,964343
119,Austria,30/07/2021,Oxford/AstraZeneca,1562683
120,Austria,30/07/2021,Pfizer/BioNTech,6827703
121,Austria,6/08/2021,Johnson&Johnson,216054
122,Austria,6/08/2021,Moderna,982157
123,Austria,6/08/2021,Oxford/AstraZeneca,1578253
124,Austria,6/08/2021,Pfizer/BioNTech,7004477
125,Austria,13/08/2021,Johnson&Johnson,226310
126,Austria,13/08/2021,Moderna,991615
127,Austria,13/08/2021,Oxford/AstraZeneca,1584221
128,Austria,13/08/2021,Pfizer/BioNTech,7128874
129,Austria,20/08/2021,Johnson&Johnson,239653
130,Austria,20/08/2021,Moderna,1005583
131,Austria,20/08/2021,Oxford/AstraZeneca,1587583
132,Austria,20/08/2021,Pfizer/BioNTech,7221489
133,Austria,27/08/2021,Johnson&Johnson,253313
134,Austria,27/08/2021,Moderna,1009231
135,Austria,27/08/2021,Oxford/AstraZeneca,1589850
136,Austria,27/08/2021,Pfizer/BioNTech,7279190
137,Austria,3/09/2021,Johnson&Johnson,266112
138,Austria,3/09/2021,Moderna,1013992
139,Austria,3/09/2021,Oxford/AstraZeneca,1592223
140,Austria,3/09/2021,Pfizer/BioNTech,7327641
141,Austria,10/09/2021,Johnson&Johnson,279971
142,Austria,10/09/2021,Moderna,1016840
143,Austria,10/09/2021,Oxford/AstraZeneca,1593712
144,Austria,10/09/2021,Pfizer/BioNTech,7377564
145,Austria,17/09/2021,Johnson&Johnson,291245
146,Austria,17/09/2021,Moderna,1020757
147,Austria,17/09/2021,Oxford/AstraZeneca,1595048
148,Austria,17/09/2021,Pfizer/BioNTech,7436417
149,Austria,24/09/2021,Johnson&Johnson,304806
150,Austria,24/09/2021,Moderna,1022966
